,发帖日期,帖子总数量,积极帖子数量,中立帖子数量,消极帖子数量,帖子平均阅读量,帖子平均评论量,帖子平均点赞量,积极帖子平均阅读量,积极帖子平均评论量,积极帖子平均点赞量,中立帖子平均阅读量,中立帖子平均评论量,中立帖子平均点赞量,消极帖子平均阅读量,消极帖子平均评论量,消极帖子平均点赞量
0,2020-11-2,210,50,13,147,571.18,3.05,2.92,563.82,4.0,3.26,321.85,2.54,2.08,535.49,2.77,2.88
1,2020-11-3,128,53,14,61,593.17,2.77,3.92,609.67,3.0,3.33,533.57,2.29,4.21,456.31,2.69,4.36
2,2020-11-4,113,45,12,56,570.45,2.84,4.21,617.73,2.36,3.62,320.33,1.33,3.33,586.05,3.55,4.88
3,2020-11-5,117,52,11,54,459.76,2.68,3.05,488.31,2.98,3.08,515.82,3.45,2.91,420.85,2.22,3.06
4,2020-11-6,112,38,15,59,420.88,2.86,2.82,527.53,4.37,3.34,475.93,3.2,2.07,338.19,1.8,2.68
5,2020-11-7,25,9,0,16,724.6,3.68,2.12,944.22,5.44,3.22,0.0,0.0,0.0,601.06,2.69,1.5
6,2020-11-8,29,12,3,14,1136.79,5.64,2.71,1238.0,4.92,2.33,1512.33,16.33,6.33,814.77,3.85,2.23
7,2020-11-9,129,39,12,78,344.64,1.3,3.65,448.85,1.67,3.67,352.75,2.0,3.83,291.29,1.01,3.62
8,2020-11-10,113,37,16,60,393.42,1.91,2.57,408.24,2.08,2.49,411.44,2.19,2.0,379.48,1.73,2.77
9,2020-11-11,100,42,6,52,1639.13,2.63,3.6,541.43,2.93,3.79,281.0,1.5,2.67,2682.44,2.52,3.56
10,2020-11-12,89,24,11,54,3090.76,1.67,2.21,10437.25,1.96,2.25,482.82,1.73,3.09,356.91,1.54,2.02
11,2020-11-13,92,28,3,61,465.03,2.53,3.18,552.46,3.25,2.86,577.33,2.33,2.67,419.38,2.21,3.36
12,2020-11-14,24,8,0,16,997.82,4.14,2.59,1359.86,5.71,2.14,0.0,0.0,0.0,827.0,3.4,2.8
13,2020-11-15,26,11,1,14,1202.36,4.8,4.24,1551.6,5.1,4.3,326.0,0.0,3.0,930.86,4.93,4.29
14,2020-11-16,113,40,11,62,364.46,1.72,3.27,405.8,1.63,2.83,352.0,1.36,3.45,340.0,1.84,3.53
